nodeid,year,groupid,noffences,size,tsc_haitian,tsc_yob
3635,2001,,,,0,1979
3635,2002,,,,0,1979
3635,2003,,,,0,1979
3635,2004,,,,0,1979
3635,2005,,,,0,1979
3635,2006,727,,1,0,1979
3635,2007,,,,0,1979
3635,2008,574,1,1,0,1979
3635,2009,,,,0,1979
3642,2001,,,,0,1988
3642,2002,,,,0,1988
3642,2003,,,,0,1988
3642,2004,,,,0,1988
3642,2005,347,,1,0,1988
3642,2006,6,1,33,0,1988
3642,2007,9,1,22,0,1988
3642,2008,233,21,2,0,1988
3642,2009,,,,0,1988
4025,2001,,,,0,1986
4025,2002,64,,4,0,1986
4025,2003,1697,4,1,0,1986
4025,2004,37,5,7,0,1986
4025,2005,2,11,58,0,1986
4025,2006,,,,0,1986
4025,2007,1510,1,1,0,1986
4025,2008,71,21,4,0,1986
4025,2009,69,9,4,0,1986
4356,2001,,,,1,1975
4356,2002,,,,1,1975
4356,2003,61,,5,1,1975
4356,2004,,,,1,1975
4356,2005,,,,1,1975
4356,2006,1,,77,1,1975
4356,2007,123,,3,1,1975
4356,2008,154,2,2,1,1975
4356,2009,1286,2,1,1,1975
4358,2001,,,,0,1984
4358,2002,1427,22,1,0,1984
4358,2003,,,,0,1984
4358,2004,,,,0,1984
4358,2005,,,,0,1984
4358,2006,,,,0,1984
4358,2007,1864,,1,0,1984
4358,2008,,,,0,1984
4358,2009,,,,0,1984
4394,2001,,,,1,1983
4394,2002,24,3,8,1,1983
4394,2003,,,,1,1983
4394,2004,7,2,15,1,1983
4394,2005,,,,1,1983
4394,2006,,,,1,1983
4394,2007,1475,1,1,1,1983
4394,2008,628,1,1,1,1983
4394,2009,279,,2,1,1983
4436,2001,,,,1,1979
4436,2002,,,,1,1979
4436,2003,11,5,17,1,1979
4436,2004,,,,1,1979
4436,2005,319,1,1,1,1979
4436,2006,177,6,2,1,1979
4436,2007,1273,,1,1,1979
4436,2008,15,,20,1,1979
4436,2009,,,,1,1979
4507,2001,,,,1,1977
4507,2002,,,,1,1977
4507,2003,,,,1,1977
4507,2004,,,,1,1977
4507,2005,,,,1,1977
4507,2006,2271,1,1,1,1977
4507,2007,348,3,1,1,1977
4507,2008,842,3,1,1,1977
4507,2009,766,1,1,1,1977
4644,2001,,,,1,1982
4644,2002,,,,1,1982
4644,2003,1543,,1,1,1982
4644,2004,1355,,1,1,1982
4644,2005,,,,1,1982
4644,2006,,,,1,1982
4644,2007,,,,1,1982
4644,2008,,,,1,1982
4644,2009,1879,,1,1,1982
4819,2001,1284,,1,0,1983
4819,2002,339,7,1,0,1983
4819,2003,47,8,6,0,1983
4819,2004,1537,,1,0,1983
4819,2005,87,,3,0,1983
4819,2006,251,2,2,0,1983
4819,2007,869,,1,0,1983
4819,2008,41,2,7,0,1983
4819,2009,1369,1,1,0,1983
4823,2001,,,,0,1984
4823,2002,192,,2,0,1984
4823,2003,47,6,6,0,1984
4823,2004,,,,0,1984
4823,2005,87,,3,0,1984
4823,2006,251,3,2,0,1984
4823,2007,,,,0,1984
4823,2008,,,,0,1984
4823,2009,,,,0,1984
5055,2001,1040,,1,1,1984
5055,2002,,,,1,1984
5055,2003,131,3,3,1,1984
5055,2004,,,,1,1984
5055,2005,1068,1,1,1,1984
5055,2006,930,1,1,1,1984
5055,2007,,,,1,1984
5055,2008,112,1,3,1,1984
5055,2009,1184,,1,1,1984
5394,2001,872,3,1,0,1970
5394,2002,,,,0,1970
5394,2003,,,,0,1970
5394,2004,,,,0,1970
5394,2005,,,,0,1970
5394,2006,,,,0,1970
5394,2007,,,,0,1970
5394,2008,953,9,1,0,1970
5394,2009,,,,0,1970
5691,2001,,,,0,1982
5691,2002,,,,0,1982
5691,2003,,,,0,1982
5691,2004,1059,1,1,0,1982
5691,2005,707,1,1,0,1982
5691,2006,1494,3,1,0,1982
5691,2007,,,,0,1982
5691,2008,1408,5,1,0,1982
5691,2009,830,11,1,0,1982
5813,2001,,,,0,1981
5813,2002,,,,0,1981
5813,2003,384,4,1,0,1981
5813,2004,263,,2,0,1981
5813,2005,,,,0,1981
5813,2006,,,,0,1981
5813,2007,,,,0,1981
5813,2008,,,,0,1981
5813,2009,,,,0,1981
5844,2001,,,,0,1982
5844,2002,,,,0,1982
5844,2003,,,,0,1982
5844,2004,,,,0,1982
5844,2005,,,,0,1982
5844,2006,,,,0,1982
5844,2007,2114,6,1,0,1982
5844,2008,6,14,40,0,1982
5844,2009,,,,0,1982
5845,2001,,,,0,1983
5845,2002,,,,0,1983
5845,2003,,,,0,1983
5845,2004,,,,0,1983
5845,2005,,,,0,1983
5845,2006,,,,0,1983
5845,2007,,,,0,1983
5845,2008,458,1,1,0,1983
5845,2009,,,,0,1983
6170,2001,,,,0,1989
6170,2002,,,,0,1989
6170,2003,,,,0,1989
6170,2004,1146,1,1,0,1989
6170,2005,590,1,1,0,1989
6170,2006,1243,,1,0,1989
6170,2007,10,5,19,0,1989
6170,2008,,,,0,1989
6170,2009,1078,2,1,0,1989
6441,2001,875,,1,0,1985
6441,2002,25,,8,0,1985
6441,2003,1,8,49,0,1985
6441,2004,3,1,21,0,1985
6441,2005,3,9,51,0,1985
6441,2006,859,4,1,0,1985
6441,2007,,,,0,1985
6441,2008,11,,29,0,1985
6441,2009,16,,17,0,1985
6493,2001,,,,0,1976
6493,2002,,,,0,1976
6493,2003,,,,0,1976
6493,2004,,,,0,1976
6493,2005,,,,0,1976
6493,2006,,,,0,1976
6493,2007,,,,0,1976
6493,2008,1119,,1,0,1976
6493,2009,494,,1,0,1976
6621,2001,,,,0,1984
6621,2002,,,,0,1984
6621,2003,,,,0,1984
6621,2004,,,,0,1984
6621,2005,,,,0,1984
6621,2006,23,1,11,0,1984
6621,2007,,,,0,1984
6621,2008,108,2,3,0,1984
6621,2009,,,,0,1984
7088,2001,,,,0,1987
7088,2002,304,,1,0,1987
7088,2003,,,,0,1987
7088,2004,,,,0,1987
7088,2005,,,,0,1987
7088,2006,967,1,1,0,1987
7088,2007,,,,0,1987
7088,2008,,,,0,1987
7088,2009,,,,0,1987
7787,2001,,,,0,1979
7787,2002,,,,0,1979
7787,2003,,,,0,1979
7787,2004,364,1,1,0,1979
7787,2005,2,3,58,0,1979
7787,2006,,,,0,1979
7787,2007,,,,0,1979
7787,2008,,,,0,1979
7787,2009,,,,0,1979
7795,2001,,,,0,1983
7795,2002,,,,0,1983
7795,2003,,,,0,1983
7795,2004,35,6,7,0,1983
7795,2005,,,,0,1983
7795,2006,,,,0,1983
7795,2007,,,,0,1983
7795,2008,9,,30,0,1983
7795,2009,,,,0,1983
7874,2001,,,,0,1979
7874,2002,,,,0,1979
7874,2003,16,5,13,0,1979
7874,2004,,,,0,1979
7874,2005,,,,0,1979
7874,2006,,,,0,1979
7874,2007,,,,0,1979
7874,2008,1244,1,1,0,1979
7874,2009,,,,0,1979
7973,2001,1280,1,1,0,1973
7973,2002,,,,0,1973
7973,2003,240,3,2,0,1973
7973,2004,,,,0,1973
7973,2005,803,,1,0,1973
7973,2006,,,,0,1973
7973,2007,1278,,1,0,1973
7973,2008,639,,1,0,1973
7973,2009,,,,0,1973
8070,2001,,,,1,1984
8070,2002,,,,1,1984
8070,2003,1098,1,1,1,1984
8070,2004,62,4,4,1,1984
8070,2005,,,,1,1984
8070,2006,,,,1,1984
8070,2007,2042,,1,1,1984
8070,2008,,,,1,1984
8070,2009,,,,1,1984
8211,2001,,,,0,1991
8211,2002,,,,0,1991
8211,2003,,,,0,1991
8211,2004,,,,0,1991
8211,2005,,,,0,1991
8211,2006,,,,0,1991
8211,2007,,,,0,1991
8211,2008,,,,0,1991
8211,2009,1,2,120,0,1991
8292,2001,1483,,1,1,1983
8292,2002,,,,1,1983
8292,2003,,,,1,1983
8292,2004,,,,1,1983
8292,2005,,,,1,1983
8292,2006,,,,1,1983
8292,2007,,,,1,1983
8292,2008,9,,30,1,1983
8292,2009,1192,2,1,1,1983
8645,2001,3,5,29,1,1987
8645,2002,29,5,6,1,1987
8645,2003,1451,1,1,1,1987
8645,2004,,,,1,1987
8645,2005,2,12,58,1,1987
8645,2006,334,1,1,1,1987
8645,2007,1327,1,1,1,1987
8645,2008,791,3,1,1,1987
8645,2009,,,,1,1987
9019,2001,,,,1,1985
9019,2002,,,,1,1985
9019,2003,,,,1,1985
9019,2004,,,,1,1985
9019,2005,,,,1,1985
9019,2006,,,,1,1985
9019,2007,,,,1,1985
9019,2008,1282,1,1,1,1985
9019,2009,951,1,1,1,1985
9125,2001,,,,1,1990
9125,2002,,,,1,1990
9125,2003,,,,1,1990
9125,2004,,,,1,1990
9125,2005,37,2,7,1,1990
9125,2006,1318,,1,1,1990
9125,2007,,,,1,1990
9125,2008,888,2,1,1,1990
9125,2009,1010,2,1,1,1990
9540,2001,,,,0,1985
9540,2002,1174,4,1,0,1985
9540,2003,14,12,14,0,1985
9540,2004,,,,0,1985
9540,2005,,,,0,1985
9540,2006,,,,0,1985
9540,2007,,,,0,1985
9540,2008,,,,0,1985
9540,2009,,,,0,1985
9585,2001,,,,1,1981
9585,2002,,,,1,1981
9585,2003,,,,1,1981
9585,2004,,,,1,1981
9585,2005,,,,1,1981
9585,2006,1765,1,1,1,1981
9585,2007,,,,1,1981
9585,2008,,,,1,1981
9585,2009,,,,1,1981
9627,2001,912,1,1,1,1974
9627,2002,99,3,3,1,1974
9627,2003,171,5,2,1,1974
9627,2004,1988,3,1,1,1974
9627,2005,,,,1,1974
9627,2006,1640,2,1,1,1974
9627,2007,2284,,1,1,1974
9627,2008,,,,1,1974
9627,2009,350,10,1,1,1974
10007,2001,,,,0,1979
10007,2002,,,,0,1979
10007,2003,,,,0,1979
10007,2004,870,3,1,0,1979
10007,2005,1561,2,1,0,1979
10007,2006,,,,0,1979
10007,2007,2256,,1,0,1979
10007,2008,1342,1,1,0,1979
10007,2009,1172,1,1,0,1979
10231,2001,,,,0,1974
10231,2002,,,,0,1974
10231,2003,,,,0,1974
10231,2004,,,,0,1974
10231,2005,,,,0,1974
10231,2006,,,,0,1974
10231,2007,,,,0,1974
10231,2008,,,,0,1974
10231,2009,1194,3,1,0,1974
10438,2001,762,1,1,0,1985
10438,2002,1313,4,1,0,1985
10438,2003,33,9,7,0,1985
10438,2004,294,8,2,0,1985
10438,2005,506,26,1,0,1985
10438,2006,1,5,77,0,1985
10438,2007,1215,9,1,0,1985
10438,2008,162,6,2,0,1985
10438,2009,6,20,59,0,1985
10590,2001,,,,0,1966
10590,2002,,,,0,1966
10590,2003,944,1,1,0,1966
10590,2004,,,,0,1966
10590,2005,1849,1,1,0,1966
10590,2006,1069,3,1,0,1966
10590,2007,,,,0,1966
10590,2008,,,,0,1966
10590,2009,,,,0,1966
10641,2001,,,,1,1988
10641,2002,1354,1,1,1,1988
10641,2003,,,,1,1988
10641,2004,31,5,8,1,1988
10641,2005,4,11,49,1,1988
10641,2006,159,15,2,1,1988
10641,2007,,,,1,1988
10641,2008,24,3,14,1,1988
10641,2009,819,1,1,1,1988
10932,2001,300,6,1,0,1975
10932,2002,152,8,2,0,1975
10932,2003,321,5,1,0,1975
10932,2004,367,4,1,0,1975
10932,2005,1190,1,1,0,1975
10932,2006,316,,2,0,1975
10932,2007,1688,4,1,0,1975
10932,2008,595,6,1,0,1975
10932,2009,397,4,1,0,1975
11183,2001,,,,0,1986
11183,2002,588,1,1,0,1986
11183,2003,808,4,1,0,1986
11183,2004,799,,1,0,1986
11183,2005,82,19,4,0,1986
11183,2006,508,7,1,0,1986
11183,2007,2009,,1,0,1986
11183,2008,1058,1,1,0,1986
11183,2009,99,,3,0,1986
11195,2001,,,,0,1990
11195,2002,,,,0,1990
11195,2003,1092,,1,0,1990
11195,2004,1570,4,1,0,1990
11195,2005,82,5,4,0,1990
11195,2006,186,,2,0,1990
11195,2007,255,,2,0,1990
11195,2008,1447,2,1,0,1990
11195,2009,99,,3,0,1990
11547,2001,,,,0,1987
11547,2002,,,,0,1987
11547,2003,,,,0,1987
11547,2004,,,,0,1987
11547,2005,,,,0,1987
11547,2006,,,,0,1987
11547,2007,22,,11,0,1987
11547,2008,36,,8,0,1987
11547,2009,19,,13,0,1987
11955,2001,,,,0,1975
11955,2002,,,,0,1975
11955,2003,,,,0,1975
11955,2004,1654,1,1,0,1975
11955,2005,,,,0,1975
11955,2006,605,1,1,0,1975
11955,2007,,,,0,1975
11955,2008,,,,0,1975
11955,2009,,,,0,1975
12082,2001,5,,21,1,1984
12082,2002,,,,1,1984
12082,2003,,,,1,1984
12082,2004,,,,1,1984
12082,2005,,,,1,1984
12082,2006,,,,1,1984
12082,2007,,,,1,1984
12082,2008,,,,1,1984
12082,2009,,,,1,1984
12214,2001,4,,23,1,1978
12214,2002,784,4,1,1,1978
12214,2003,33,4,7,1,1978
12214,2004,,,,1,1978
12214,2005,,,,1,1978
12214,2006,,,,1,1978
12214,2007,,,,1,1978
12214,2008,,,,1,1978
12214,2009,,,,1,1978
12570,2001,,,,0,1989
12570,2002,,,,0,1989
12570,2003,,,,0,1989
12570,2004,1459,1,1,0,1989
12570,2005,,,,0,1989
12570,2006,,,,0,1989
12570,2007,3,5,42,0,1989
12570,2008,4,4,48,0,1989
12570,2009,1786,6,1,0,1989
12587,2001,,,,1,1978
12587,2002,222,,2,1,1978
12587,2003,1144,,1,1,1978
12587,2004,1220,,1,1,1978
12587,2005,,,,1,1978
12587,2006,574,1,1,1,1978
12587,2007,389,1,1,1,1978
12587,2008,1887,,1,1,1978
12587,2009,,,,1,1978
12634,2001,,,,0,1983
12634,2002,8,5,17,0,1983
12634,2003,864,7,1,0,1983
12634,2004,488,11,1,0,1983
12634,2005,1386,9,1,0,1983
12634,2006,371,3,1,0,1983
12634,2007,1665,4,1,0,1983
12634,2008,12,4,23,0,1983
12634,2009,1699,8,1,0,1983
12949,2001,1007,,1,0,1968
12949,2002,1073,1,1,0,1968
12949,2003,,,,0,1968
12949,2004,,,,0,1968
12949,2005,,,,0,1968
12949,2006,,,,0,1968
12949,2007,,,,0,1968
12949,2008,,,,0,1968
12949,2009,,,,0,1968
13349,2001,20,10,8,1,1972
13349,2002,,,,1,1972
13349,2003,1011,1,1,1,1972
13349,2004,733,5,1,1,1972
13349,2005,8,,24,1,1972
13349,2006,,,,1,1972
13349,2007,,,,1,1972
13349,2008,,,,1,1972
13349,2009,76,2,3,1,1972
13433,2001,,,,1,1972
13433,2002,134,,3,1,1972
13433,2003,,,,1,1972
13433,2004,139,,3,1,1972
13433,2005,,,,1,1972
13433,2006,,,,1,1972
13433,2007,,,,1,1972
13433,2008,,,,1,1972
13433,2009,,,,1,1972
13496,2001,605,1,1,1,1980
13496,2002,1693,4,1,1,1980
13496,2003,173,9,2,1,1980
13496,2004,1116,,1,1,1980
13496,2005,,,,1,1980
13496,2006,,,,1,1980
13496,2007,,,,1,1980
13496,2008,,,,1,1980
13496,2009,,,,1,1980
13582,2001,,,,1,1969
13582,2002,,,,1,1969
13582,2003,263,,2,1,1969
13582,2004,2000,1,1,1,1969
13582,2005,,,,1,1969
13582,2006,1402,,1,1,1969
13582,2007,,,,1,1969
13582,2008,1501,,1,1,1969
13582,2009,,,,1,1969
13665,2001,,,,1,1973
13665,2002,,,,1,1973
13665,2003,201,,2,1,1973
13665,2004,,,,1,1973
13665,2005,,,,1,1973
13665,2006,,,,1,1973
13665,2007,,,,1,1973
13665,2008,,,,1,1973
13665,2009,,,,1,1973
13756,2001,,,,1,1991
13756,2002,,,,1,1991
13756,2003,,,,1,1991
13756,2004,,,,1,1991
13756,2005,,,,1,1991
13756,2006,,,,1,1991
13756,2007,,,,1,1991
13756,2008,1307,1,1,1,1991
13756,2009,583,2,1,1,1991
13877,2001,,,,1,1971
13877,2002,,,,1,1971
13877,2003,,,,1,1971
13877,2004,,,,1,1971
13877,2005,,,,1,1971
13877,2006,,,,1,1971
13877,2007,863,4,1,1,1971
13877,2008,,,,1,1971
13877,2009,,,,1,1971
13904,2001,,,,0,1984
13904,2002,,,,0,1984
13904,2003,,,,0,1984
13904,2004,95,,3,0,1984
13904,2005,,,,0,1984
13904,2006,,,,0,1984
13904,2007,,,,0,1984
13904,2008,,,,0,1984
13904,2009,,,,0,1984
13913,2001,1196,1,1,1,1983
13913,2002,,,,1,1983
13913,2003,,,,1,1983
13913,2004,,,,1,1983
13913,2005,,,,1,1983
13913,2006,,,,1,1983
13913,2007,,,,1,1983
13913,2008,,,,1,1983
13913,2009,,,,1,1983
13919,2001,,,,1,1951
13919,2002,38,,5,1,1951
13919,2003,,,,1,1951
13919,2004,,,,1,1951
13919,2005,,,,1,1951
13919,2006,,,,1,1951
13919,2007,,,,1,1951
13919,2008,,,,1,1951
13919,2009,,,,1,1951
14084,2001,,,,1,1992
14084,2002,,,,1,1992
14084,2003,,,,1,1992
14084,2004,,,,1,1992
14084,2005,,,,1,1992
14084,2006,,,,1,1992
14084,2007,,,,1,1992
14084,2008,,,,1,1992
14084,2009,447,1,1,1,1992
14429,2001,,,,1,1989
14429,2002,,,,1,1989
14429,2003,,,,1,1989
14429,2004,,,,1,1989
14429,2005,,,,1,1989
14429,2006,1528,2,1,1,1989
14429,2007,1610,3,1,1,1989
14429,2008,215,3,2,1,1989
14429,2009,2,27,71,1,1989
14448,2001,,,,0,1991
14448,2002,,,,0,1991
14448,2003,704,5,1,0,1991
14448,2004,,,,0,1991
14448,2005,1650,,1,0,1991
14448,2006,,,,0,1991
14448,2007,77,6,4,0,1991
14448,2008,,,,0,1991
14448,2009,422,1,1,0,1991
14779,2001,,,,1,1985
14779,2002,,,,1,1985
14779,2003,,,,1,1985
14779,2004,,,,1,1985
14779,2005,,,,1,1985
14779,2006,,,,1,1985
14779,2007,,,,1,1985
14779,2008,335,,2,1,1985
14779,2009,,,,1,1985
15225,2001,,,,0,1992
15225,2002,,,,0,1992
15225,2003,,,,0,1992
15225,2004,,,,0,1992
15225,2005,,,,0,1992
15225,2006,,,,0,1992
15225,2007,1170,,1,0,1992
15225,2008,10,6,30,0,1992
