SPECIMEN;SERVPOL;SAISIE;masse_coca;masse_hero;masse_divers;Type;EMBALLAGE;masse_ech;masse_specimen;DESCRIPTION;PURETE;STUP;COUPAGE;CLASSE;1.4_dmt;acide.4-aminobenzoique;acide.abietique;acide.acetylsalicylique;acide.ascorbique;acide.citrique;acide.isopimarique;acide.palmitique;acide.salicylique;acide.stearique;acides.gras;benzocaine;bicarbonate.sodium;butylbromure.scopolamine;cafeine;chlorprothixene;creatine;creatinine;dextromethorphane;diazepam;diethylphtalate;diltiazem;escitalopram;fluoxetine;fructose;glucose;glutamine;glycerol;griseofulvine;hydroxyzine;ibuprofen;inositol;ketamine;lactose;levamisol;lidocaine;mannitol;melatonine;methandrostenolone;metoprolol;nicotinamide;paracetamol;phenacetine;phenobarbital;piracetam;procaine;sorbitol;sucres;sucrose;tetracaine;tramadol;vanilline
421_10.13_2_;02;421_10.13;NA;1986.42;NA;heroine;puck;4.93;492.78;poudre_beige;9;heroine;paracetamol cafeine griseofulvine;H02000392000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
421_10.13_3_;02;421_10.13;NA;1986.42;NA;heroine;puck;4.9;498.7;poudre_beige;46.4;heroine;paracetamol cafeine griseofulvine;H02000356000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
421_10.13_4_;02;421_10.13;NA;1986.42;NA;heroine;puck;4.94;492.55;poudre_beige;49.6;heroine;paracetamol cafeine griseofulvine;H02000356000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
422_10.13_1_;02;422_10.13;248.63;NA;NA;cocaine;boulette;0.78;9.43;poudre_blanche;31.3;cocaine;phenacetine lidocaine glucose levamisol sucrose;C02001564000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
422_10.13_2_;02;422_10.13;248.63;NA;NA;cocaine;boulette;0.84;9.72;poudre_blanche;28.4;cocaine;phenacetine lidocaine glucose levamisol sucrose;C02001564000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
422_10.13_3_;02;422_10.13;248.63;NA;NA;cocaine;boulette;0.85;9.54;poudre_blanche;31;cocaine;phenacetine lidocaine glucose levamisol sucrose;C02001564000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
423_10.13_1_;02;423_10.13;399.31;NA;NA;cocaine;pacson;4.82;199.15;poudre_blanche;49;cocaine;phenacetine levamisol;C02001532000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
423_10.13_2_;02;423_10.13;399.31;NA;NA;cocaine;pacson;4.05;200.16;poudre_blanche;49.4;cocaine;phenacetine levamisol;C02001532000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
424_10.13_1_;02;424_10.13;NA;54.02;NA;heroine;minigrip;0.71;4.55;poudre_beige;5.9;heroine;paracetamol cafeine griseofulvine;H02000365000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
424_10.13_2_;02;424_10.13;NA;54.02;NA;heroine;minigrip;0.71;4.71;poudre_beige;8.3;heroine;paracetamol cafeine ;H02000373000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
424_10.13_3_;02;424_10.13;NA;54.02;NA;heroine;minigrip;0.68;4.29;poudre_beige;8.7;heroine;paracetamol cafeine ;H02000373000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
424_10.13_4_;02;424_10.13;NA;54.02;NA;heroine;minigrip;0.71;4.78;poudre_beige;9.4;heroine;paracetamol cafeine ;H02000373000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
425_10.13_1_;01;425_10.13;NA;8.53;NA;heroine;minigrip;4.4;5.1;sachet_minigrip_contenant_de_la_poudre_brune._saisi_en_possession_de_monsieur_bajraktari_amarildo;14.6;heroine;paracetamol cafeine;H02000393000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
425_10.13_2_;01;425_10.13;NA;8.53;NA;heroine;minigrip;4.1;4.9;sachet_minigrip_contenant_de_la_poudre_brune._saisi_en_possession_de_monsieur_pangallo_jean_pierre;15.4;heroine;paracetamol cafeine;H02000393000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
